movie_id,title,genre,budget_million,director_score,runtime_minutes,cast_popularity,release_month,marketing_spend,is_sequel,box_office_hit
1,Movie_1,Sci-Fi,254.32,0.69,149,44.41,7,38.82,1,0
2,Movie_2,Thriller,148.86,5.86,91,80.3,3,56.33,1,0
3,Movie_3,Horror,59.44,7.99,156,2.14,6,52.42,0,0
4,Movie_4,Sci-Fi,221.26,7.64,94,41.81,4,89.96,1,0
5,Movie_5,Drama,126.18,8.37,171,90.12,1,59.42,1,0
6,Movie_6,Fantasy,178.79,9.79,105,1.14,5,13.27,0,0
7,Movie_7,Horror,33.07,9.96,84,60.74,4,20.95,0,0
8,Movie_8,Horror,189.84,4.1,133,47.92,12,11.44,1,0
9,Movie_9,Sci-Fi,112.69,5.02,163,41.01,12,76.95,0,0
10,Movie_10,Comedy,100.92,4.98,123,66.74,2,34.77,0,0
11,Movie_11,Drama,293.99,6.42,124,20.89,11,48.4,1,0
12,Movie_12,Sci-Fi,130.3,2.46,92,7.6,2,14.66,0,0
13,Movie_13,Drama,203.73,7.73,89,29.67,10,54.82,1,0
14,Movie_14,Drama,188.69,1.27,99,33.3,3,17.04,1,0
15,Movie_15,Fantasy,32.19,9.51,128,13.0,7,31.75,0,0
16,Movie_16,Horror,224.63,1.25,146,45.52,9,46.28,0,0
17,Movie_17,Thriller,97.62,7.43,165,32.25,9,6.67,1,0
18,Movie_18,Fantasy,239.88,3.97,124,40.91,3,92.18,0,0
19,Movie_19,Fantasy,182.68,6.34,85,20.12,9,70.03,1,0
20,Movie_20,Drama,95.81,3.14,147,79.16,12,33.63,1,0
21,Movie_21,Romance,107.53,1.2,138,90.56,2,35.17,0,0
22,Movie_22,Horror,219.72,9.38,173,42.76,6,12.01,0,0
23,Movie_23,Comedy,165.47,5.1,159,76.76,9,9.79,1,0
24,Movie_24,Fantasy,200.84,3.01,157,92.77,5,79.28,1,1
25,Movie_25,Thriller,48.34,6.24,161,26.17,9,90.11,1,0
26,Movie_26,Romance,236.31,2.58,124,78.91,6,87.59,1,1
27,Movie_27,Romance,96.8,0.4,123,96.15,7,96.23,1,0
28,Movie_28,Comedy,186.34,7.94,106,36.96,2,49.61,0,0
29,Movie_29,Fantasy,35.29,9.96,85,23.31,10,59.56,0,0
30,Movie_30,Thriller,97.1,9.56,85,44.99,10,36.75,0,0
31,Movie_31,Horror,195.01,8.8,171,80.98,2,0.82,0,0
32,Movie_32,Action,82.99,7.47,96,61.56,1,77.89,1,0
33,Movie_33,Thriller,264.21,1.62,87,36.67,4,99.54,0,1
34,Movie_34,Comedy,198.71,1.56,123,56.07,1,49.19,1,0
35,Movie_35,Romance,261.21,1.5,165,54.27,6,76.1,1,1
36,Movie_36,Horror,119.22,4.6,116,9.49,10,75.75,0,0
37,Movie_37,Thriller,11.16,4.76,82,86.74,3,25.31,0,0
38,Movie_38,Action,173.27,5.78,91,22.35,12,23.78,1,0
39,Movie_39,Action,102.42,2.27,175,48.12,8,9.13,1,0
40,Movie_40,Drama,135.01,0.4,158,45.06,2,84.29,1,0
41,Movie_41,Drama,204.65,1.01,124,34.76,3,56.79,0,0
42,Movie_42,Sci-Fi,210.5,0.69,117,59.47,5,29.22,1,0
43,Movie_43,Comedy,9.24,7.93,119,66.79,9,10.21,1,0
44,Movie_44,Fantasy,231.02,1.35,177,47.34,5,94.53,0,0
45,Movie_45,Thriller,148.56,7.5,148,3.89,4,94.98,0,0
46,Movie_46,Thriller,167.45,1.07,120,60.78,9,96.75,1,0
47,Movie_47,Fantasy,90.1,4.96,143,42.3,9,97.54,0,0
48,Movie_48,Sci-Fi,126.83,2.88,155,77.34,11,16.57,0,0
49,Movie_49,Romance,213.4,6.51,87,1.17,10,10.3,1,0
